boko haram 3 things that proves shekau may be dead or has been replaced - https//t.co/mvxqgctbw1 https//t.co/0e9ggbfb5k|None
rt @mister_patama yung lalaking if-flood ka ng sweet messages.|None
rt @nbcnightlynews many children among 500 people reportedly killed on both sides of syrian civil war after another week of bombing. https…|None
rt @cdcgov zika is new but e is correct! rt to share how public health threats are kept under control. https//t.co/tybotfrq4j https//t.…|None
antes uno iba a la nevera y agarraba que si una manzanita, una pera, duraznos.. ahora de verga vas y agarras zika, mamón, agua y patria.|None
newsupdate 3 dead in venezuela after contracting zika president nicolas maduro (pti) https//t.co/t0kjac8qvk|None
boko haram 3 things that proves shekau may be dead or has been replaced - https//t.co/8wo2wahqsf https//t.co/sdilm3covv|None
boko haram 3 things that proves shekau may be dead or has been replaced - https//t.co/8iscth5gnr https//t.co/9sjpaqvanl|None
boko haram 3 things that proves shekau may be dead or has been replaced - https//t.co/zbuwqfd4mp https//t.co/gjy4jwoblj|None
boko haram 3 things that proves shekau may be dead or has been replaced - https//t.co/w28f0y22ee https//t.co/d9gotxdjqd|None
rt @kyodai216 obama needs to be impeached.  https//t.co/lb08felgt0|None
rt @owillis cmon pbs, no questions so far on climate, abortion, or terrorism|None
rt @rahulroushan from "he's bastard, but he's our bastard", the adarsh liberals have graduated to "she's terrorist, but she's our terroris…|None
rt @gauravpandhi rashtravadiheadley "ishrat jahan was terrorist"malegaon blast accused rashtravadi dayanand pandey "rss funded by isi…|None
rt @un you've suffered enough. un is working to help you-ban ki-moon to refugee families in canada https//t.co/1hxjnpdcsz https//t.co/xj…|None
@perclexed think of all the puns you'll be able to make. besides, new place, new chances, and away from that impending earthquake of doom.|None
rt @anjalimullany and "from 2005 to 2009, inflation-adjusted median wealth fell by 66% among hispanic households" https//t.co/ryeltqbyqa…|None
estoy escuchando hurricane y me hace acordar a luciana cuando lo cantabamos jajajajajajajjaj menos ingles teníamos|None
rt @conelmazodando entérate quienes están detrás de la propagación del virus del zika https//t.co/1ngtcobqyf https//t.co/1nxosl2v8f|None
mais si c'est possible avec la carte kiwi, shali__b ! https//t.co/lvgpcnlekw https//t.co/3j1fa63wqq|None
so disturbing.    death toll in syrian civil war is 470,000 the guardian  https//t.co/3awkstnlsb via @reuters|None
hahahhaha  https//t.co/bl7dilwpnx|None
rt @thelancet new at our zika site david heymann &amp; @who colleagues explain why the situation is a pheichttps//t.co/4t0i0te36h https//…|None
rt @thiagorsr olha o problema hope solo já se posicionou contra a ida para as olimpiadas por conta da epidemia de zika https//t.co/od6vn…|None
rt @tenkijp_jishin 12日11時38分頃、長崎県で最大震度1を観測する地震がありました。震源地は長崎県北部、m3.0。この地震による津波の心配はありません。 https//t.co/ij1bhungpl jishin|None
mais si c'est possible avec la carte kiwi, pasco_alba ! https//t.co/lvgpcnlekw https//t.co/n4mi3owisq|None
rt @jinheiro sobre roupa preta atrair o mosquito zikaeh o fim da populacao gotica estamos todos fadados|None
rt @sunilabvpmumbai come,salute hanumanthappa. identify &amp; pledge to fight against anti national, terrorist and naxal supporters aisa, sfi …|None
rt @historylvrsclub a spitfire (front) and a hurricane patrolling the coast during the battle of britain, in 1940. https//t.co/qit2empo1l|None
rt @kencampbell66 orban accuses germany &amp; turkey of secret pact to flood europe with another 500,000 illegals https//t.co/mhtnvwhsq0 http…|None
@markharrisnyc hillary worked for goldwater, who was friends with curtis lemay, who wanted to nuke vietnam. can't you see the threat, man!?|None
rt @elnacionalweb perú confirmó segundo caso importado de zika procedente de venezuela https//t.co/njji0ftvmk https//t.co/hjgmn7egkc|None
rt @srkbiharfc_cfc my name is khan, and i am not a terrorist.  @iamsrk 6yearsofmnik mynameiskhan  @srkchennaifc https//t.co/94dvvoatsw|None
rt @wsj economists, ceos recession risk rising https//t.co/aknn1sqqc2|None
rt @eligerzon why does @hillaryclinton cite the san bernardino shooting when she talks about terrorism in the us but not charleston shooti…|None
@sagarikaghose u have no right to pay homage to a true indian. u are an anti national. presstitute and a terrorist sympathiser|None
@kacerqueira_ se eles tiram onda nós tiramos tsunami...|None
rt @sergioheld mientras brasil firma millonario acuerdo para el desarrollo de una vacuna contra el zika, colombia hace lo propio para adq…|None
rt @paddymacmke too tru. remember how at ft. hood, chattanooga, san bernardino &amp; 9/11, the attackers all shouted, "al-reagan akbar!" https…|None
rt @nbcnightlynews many children among 500 people reportedly killed on both sides of syrian civil war after another week of bombing. https…|None
i would have ended that quote with "today" https//t.co/xu6acqitho|None
rt @nytscience many high school and middle school teachers provide misinformation about climate change in american schools https//t.co/qd…|None
rt @wsj economists, ceos recession risk rising https//t.co/aknn1sqqc2|None
rt @searchcio a data breach plan should take into account these key points https//t.co/useftnv9k0 https//t.co/2llxlydhfp|None
rt @wsj economists, ceos recession risk rising https//t.co/aknn1sqqc2|None
png's food bowl is all but empty as drought affects 2 million people https//t.co/7atfv8mlp5 smh australia|None
rt @fionaquinnbooks terrorism 101 information for writers w/ cpl. allen norton amwriting   military https//t.co/txt4ebvyor|None
rt @idrc_crdi aucasoù thierry baldet du crdi partage sa sagesse s/ @radiocanadainfo solutions pr zika https//t.co/ookwlmgmiq https//t…|None
rt @jackson_d_chase nuke writer's block into the dust with this top selling scifi toolkit! https//t.co/wbibnpszbt iartg amwriting http…|None
pantai lhok kruet aceh jaya, objek wisata yang pernah disapu tsunami ini mirip tanah lot di bali tebing berba... https//t.co/hdddjgmwzh|None
@adamnagourney @nytpolitics does a history of the coup against the shah count?|None
png's food bowl is all but empty as drought affects 2 million people  https//t.co/knvsnbstzb|None
henry kissinger is somehow a topic in the democratic debate. next up, whip inflation now buttons|None
meg issues flood advisory for tennessee river at savannah [tn] till feb 16, 1231 am cst https//t.co/1tqavcb2ql|None
meg issues flood advisory for tennessee river at savannah [tn] till feb 16, 1231 am cst https//t.co/om9pq6ilxc|None
rt @usmc the zika virus is becoming a worldwide threat. be aware of its threats and how to take precautions against it.https//t.co/lxwbp…|None
rt @chloeangyal why would we want to talk about abortion or flint or climate change  when we could keep talking about henry kissinger? de…|None
france's total slashes investment amid oil price collapse  paris, feb 11 (afp) french oil company total said ... https//t.co/afdtaoqkby|None
char ben have completed the 'find the tsunami pistol' quest! https//t.co/7i9rvlvbrz|None
rt @noticiasrcn zika autoridades de brasil confirman tercera muerte por causa del virus. https//t.co/uedtdbiebw https//t.co/3jsajcbyox|None
rt @hhshkmohd dr. thani al-zeyoudi as minister of climate change &amp; environment. at 32, with a phd in renewable energy https//t.co/cygo1wl…|None
